year,category,term,date,kickoffdate,homeTeam,score,awayTeam,stadiumName,visitors,other,homeTeamId,awayTeamId,competitionName,jLeagueCompetitionId,competitionId
2026,2,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,横浜FC,vs,栃木C,ニッパツ,,ＤＡＺＮ,34,471,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,3,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,岐阜,vs,いわき,長良川,,ＤＡＺＮ,39,386,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,讃岐,vs,新潟,メグスタ,,ＤＡＺＮ,48,78,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,2,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,徳島,vs,富山,鳴門大塚,,ＤＡＺＮ,36,41,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,2,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,今治,vs,FC大阪,アシさと,,ＤＡＺＮ,369,390,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,高知,vs,金沢,ギケンス,,ＤＡＺＮ,468,275,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第３節第２日,2026/02/22,2026-02-22T13:00:00+09:00,熊本,vs,北九州,えがおＳ,,ＤＡＺＮ,38,43,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,2,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,大分,vs,鳥取,クラド,,ＤＡＺＮ,31,44,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,3,第３節第２日,2026/02/22,2026-02-22T14:00:00+09:00,鹿児島,vs,山口,白波スタ,,ＤＡＺＮ,338,330,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,1,第４節第１日,2026/02/27,2026-02-27T19:00:00+09:00,町田,vs,千葉,Ｇスタ,,ＤＡＺＮ,45,2,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第４節第１日,2026/02/27,2026-02-27T19:00:00+09:00,神戸,vs,福岡,ノエスタ,,ＤＡＺＮ,18,23,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第４節第１日,2026/02/27,2026-02-27T19:00:00+09:00,広島,vs,京都,Ｅピース,,ＤＡＺＮ,10,24,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第４節第２日,2026/02/28,2026-02-28T13:00:00+09:00,横浜FM,vs,東京V,日産ス,,ＤＡＺＮ,5,4,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第４節第２日,2026/02/28,2026-02-28T14:00:00+09:00,浦和,vs,鹿島,埼玉,,ＤＡＺＮ,3,1,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第４節第２日,2026/02/28,2026-02-28T15:00:00+09:00,FC東京,vs,柏,味スタ,,ＤＡＺＮ,22,11,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第４節第２日,2026/02/28,2026-02-28T15:00:00+09:00,G大阪,vs,清水,パナスタ,,ＤＡＺＮ,9,7,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第４節第２日,2026/02/28,2026-02-28T17:00:00+09:00,長崎,vs,C大阪,ピースタ,,ＤＡＺＮ／ＮＨＫ長崎,47,20,明治安田J1百年構想 WESTグループ,35,35-W
2026,2,第４節第１日,2026/02/28,2026-02-28T13:00:00+09:00,仙台,vs,八戸,ユアスタ,,ＤＡＺＮ／仙台放送,54,362,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,栃木C,vs,湘南,ＣＦＳ,,ＤＡＺＮ,471,12,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,3,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,群馬,vs,秋田,正田スタ,,ＤＡＺＮ,35,270,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第４節第１日,2026/02/28,2026-02-28T14:00:00+09:00,札幌,vs,岐阜,プレド,,ＤＡＺＮ／ＮＨＫ札幌,14,39,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
